Year,Province,Gender,AgeBin,On_ART,weight,two_sigma,lower,upper
2004.5,All,Male,[15:65),3127,,625,2502,3752
2005.5,All,Male,[15:65),8794,,1759,7035,10553
2006.5,All,Male,[15:65),18592,,3718,14874,22310
2007.5,All,Male,[15:65),31969,,6394,25575,38363
2008.5,All,Male,[15:65),49194,,9839,39355,59033
2009.5,All,Male,[15:65),101852,,20370,81482,122222
2010.5,All,Male,[15:65),126064,,25213,100851,151277
2011.5,All,Male,[15:65),118970,,23794,95176,142764
2012.5,All,Male,[15:65),148576,,29715,118861,178291
2013.5,All,Male,[15:65),235089,,47018,188071,282107
2014.5,All,Male,[15:65),219716,,43943,175773,263659
2015.5,All,Male,[15:65),225908,,45182,180726,271090
2004.5,All,Female,[15:65),5549,,1110,4439,6659
2005.5,All,Female,[15:65),15639,,3128,12511,18767
2006.5,All,Female,[15:65),33571,,6714,26857,40285
2007.5,All,Female,[15:65),57906,,11581,46325,69487
2008.5,All,Female,[15:65),87483,,17497,69986,104980
2009.5,All,Female,[15:65),176310,,35262,141048,211572
2010.5,All,Female,[15:65),217860,,43572,174288,261432
2011.5,All,Female,[15:65),207407,,41481,165926,248888
2012.5,All,Female,[15:65),245459,,49092,196367,294551
2013.5,All,Female,[15:65),383514,,76703,306811,460217
2014.5,All,Female,[15:65),368094,,73619,294475,441713
2015.5,All,Female,[15:65),406130,,81226,324904,487356
